#Note: Ir93a has been added manually (via blat) to this annotation (haven't actually checked for frameshifts or ptcs there, just assumed zero)
#gene	isoform	chr	start	end	strand	numCodons	numFrameshifts	numPremStop
FBgn0086200	FBtr0300445	2L	18219437	18222380	+	136	2	0
FBgn0051790	FBtr0081076	2L	18222409	18225514	-	826	0	0
FBgn0261350	FBtr0302268	2L	18226392	18228748	-	474	0	0
FBgn0261349	FBtr0302267	2L	18228919	18230681	-	470	0	0
FBgn0086681	FBtr0305341	2L	18230895	18232709	-	498	0	0
FBgn0086909	FBtr0081092	2L	18232910	18239425	+	417	0	0
FBgn0015553	FBtr0081131	2L	18235344	18237869	-	732	0	0
FBgn0005617	FBtr0081130	2L	18239427	18244523	-	1039	0	0
FBgn0032698	FBtr0273194	2L	18245137	18246482	+	307	0	0
FBgn0032699	FBtr0089628	2L	18246477	18251015	-	784	0	0
FBgn0032700	FBtr0081096	2L	18251331	18254175	+	417	0	0
FBgn0032701	FBtr0081097	2L	18254327	18256320	+	564	0	0
FBgn0032702	FBtr0081128	2L	18256279	18258775	-	428	0	0
FBgn0032703	FBtr0081098	2L	18259109	18260108	+	214	0	0
FBgn0032704	FBtr0081127	2L	18260213	18261343	-	249	0	0
FBgn0025608	FBtr0081126	2L	18261893	18264254	-	464	0	0
FBgn0032705	FBtr0081099	2L	18264477	18266946	+	646	0	0
FBgn0032706	FBtr0114486	2L	18266717	18269499	-	499	0	0
FBgn0032707	FBtr0301647	2L	18270395	18287031	-	540	0	0
FBgn0261806	FBtr0303282	2L	18295144	18295633	-	162	0	0
FBgn0032709	FBtr0081101	2L	18295949	18296400	+	116	0	0
FBgn0045852	FBtr0305621	2L	18318359	18342816	-	990	0	0
FBgn0027074	FBtr0300818	2L	18374797	18378052	+	525	0	0
FBgn0032713	FBtr0081104	2L	18379011	18381967	+	519	0	0
FBgn0027070	FBtr0081106	2L	18382178	18384457	+	517	0	0
FBgn0032715	FBtr0081121	2L	18386179	18388219	+	407	1	0
FBgn0015808	FBtr0081109	2L	18386751	18388854	+	544	0	0
FBgn0032717	FBtr0273228	2L	18389733	18394902	-	1406	0	0
FBgn0051752	FBtr0081119	2L	18395190	18396443	-	357	0	0
FBgn0053120	FBtr0081118	2L	18396670	18399813	-	689	0	0
FBgn0032719	FBtr0081110	2L	18400414	18410402	+	373	0	0
FBgn0032721	FBtr0089317	2L	18411325	18415384	-	684	0	0
FBgn0032720	FBtr0089318	2L	18414174	18415352	-	178	0	0
FBgn0003896	FBtr0081111	2L	18415675	18437313	-	534	0	0
FBgn0032723	FBtr0081193	2L	18472080	18499315	-	1732	0	0
FBgn0262095	FBtr0304012	2L	18502495	18503271	+	96	1	1
FBgn0032724	FBtr0081132	2L	18505035	18507130	+	585	0	0
FBgn0032725	FBtr0081192	2L	18507305	18508005	-	84	0	0
FBgn0032726	FBtr0081191	2L	18508354	18510573	-	331	0	0
FBgn0032727	FBtr0081190	2L	18511674	18513362	-	331	0	0
FBgn0015772	FBtr0081187	2L	18514097	18524915	-	1488	0	0
FBgn0032728	FBtr0081133	2L	18525246	18528218	+	921	0	0
FBgn0032729	FBtr0081186	2L	18528204	18530776	-	455	0	0
FBgn0032730	FBtr0081134	2L	18531033	18534490	+	762	0	0
FBgn0032731	FBtr0081185	2L	18534059	18543529	-	217	0	0
FBgn0032732	FBtr0081135	2L	18543994	18544598	+	109	0	0
FBgn0032733	FBtr0081184	2L	18544537	18546620	-	561	0	0
FBgn0032734	FBtr0081136	2L	18547451	18548798	+	345	0	0
FBgn0046302	FBtr0081183	2L	18550034	18552252	-	425	0	0
FBgn0051792	FBtr0081137	2L	18554209	18558703	+	1318	1	1
FBgn0051793	FBtr0081138	2L	18559686	18564500	+	1307	0	0
FBgn0086710	FBtr0302491	2L	18564541	18565554	-	111	0	0
FBgn0028569	FBtr0081139	2L	18567152	18567770	+	115	0	0
FBgn0032740	FBtr0081140	2L	18579517	18580005	+	115	0	0
FBgn0032741	FBtr0081141	2L	18584175	18587245	+	507	0	0
FBgn0001202	FBtr0081180	2L	18587299	18589954	-	679	0	0
FBgn0051800	FBtr0081179	2L	18590117	18590923	-	182	0	0
FBgn0086442	FBtr0081142	2L	18590910	18598016	+	1049	0	0
FBgn0002022	FBtr0081143	2L	18598238	18600048	+	449	0	0
FBgn0032744	FBtr0081178	2L	18599968	18601595	-	369	0	0
FBgn0086441	FBtr0081145	2L	18601806	18605085	+	739	0	0
FBgn0032746	FBtr0081146	2L	18605479	18606288	+	183	0	0
FBgn0002021	FBtr0081177	2L	18606243	18608005	-	515	0	0
FBgn0261396	FBtr0302289	2L	18608132	18609984	+	494	0	0
FBgn0032748	FBtr0081148	2L	18610371	18615118	+	810	0	0
FBgn0032749	FBtr0081149	2L	18615938	18619277	+	954	0	0
FBgn0032750	FBtr0081150	2L	18619542	18620934	+	396	0	0
FBgn0032751	FBtr0081151	2L	18621193	18625812	+	84	0	0
FBgn0032752	FBtr0081174	2L	18621488	18625980	-	946	0	0
FBgn0032753	FBtr0081173	2L	18627198	18630154	-	385	0	0
FBgn0032754	FBtr0081171	2L	18633284	18635016	-	539	0	0
FBgn0002023	FBtr0081169	2L	18635222	18663919	-	520	0	0
FBgn0032755	FBtr0081152	2L	18658060	18658882	+	154	0	0
FBgn0000075	FBtr0081154	2L	18665903	18669814	+	510	0	0
FBgn0002036	FBtr0081155	2L	18670106	18672303	+	504	0	0
FBgn0000422	FBtr0081167	2L	18672212	18675974	-	510	0	0
FBgn0002031	FBtr0081164	2L	18677730	18679513	-	276	0	0
FBgn0086444	FBtr0081163	2L	18679686	18682638	-	894	1	0
FBgn0086445	FBtr0081156	2L	18682941	18684929	+	480	0	0
FBgn0086443	FBtr0081162	2L	18685236	18687324	-	558	0	0
FBgn0086446	FBtr0081157	2L	18687716	18688495	+	185	0	0
FBgn0086447	FBtr0081161	2L	18688407	18688881	-	105	0	0
FBgn0010300	FBtr0304151	2L	18689224	18726147	+	1056	0	0
FBgn0032763	FBtr0081233	2L	18727880	18729808	-	513	0	0
FBgn0261578	FBtr0302890	2L	18730116	18730607	-	50	0	0
FBgn0040994	FBtr0081231	2L	18730990	18731835	-	65	0	1
FBgn0010097	FBtr0081228	2L	18731934	18733571	-	457	0	0
FBgn0010309	FBtr0081194	2L	18733926	18737802	+	915	0	0
FBgn0015380	FBtr0081195	2L	18738179	18756370	+	610	0	0
FBgn0051797	FBtr0081227	2L	18807209	18809723	-	868	0	0
FBgn0032768	FBtr0081225	2L	18845726	18847188	-	335	0	0
FBgn0032769	FBtr0081196	2L	18847616	18848878	+	331	0	0
FBgn0032770	FBtr0081197	2L	18899613	18900592	+	182	0	0
FBgn0032771	FBtr0081198	2L	18905629	18907949	+	266	0	0
FBgn0032772	FBtr0081199	2L	18916173	18918480	+	317	0	0
FBgn0032773	FBtr0081222	2L	18918656	18921684	-	577	0	0
FBgn0032774	FBtr0300823	2L	18922700	18925694	-	287	0	0
FBgn0051798	FBtr0081200	2L	18929630	18931661	+	491	0	0
FBgn0041789	FBtr0100449	2L	18935964	18961294	-	581	0	0
FBgn0016675	FBtr0081201	2L	18952750	18953590	+	186	0	0
FBgn0053532	FBtr0091498	2L	18953632	18954350	+	186	0	0
FBgn0053533	FBtr0091499	2L	18954407	18955055	+	150	0	0
FBgn0032779	FBtr0302938	2L	18958996	18964088	+	596	0	0
FBgn0032780	FBtr0081203	2L	18961191	18965127	+	240	0	0
FBgn0032781	FBtr0081205	2L	18965484	18967253	+	506	0	0
FBgn0032782	FBtr0081206	2L	18967399	18970657	+	256	0	0
FBgn0032783	FBtr0081208	2L	18970659	18976130	-	324	0	0
FBgn0003346	FBtr0081234	2L	18976911	18982187	+	596	0	0
FBgn0024230	FBtr0081288	2L	18977683	18979626	-	349	0	0
FBgn0003732	FBtr0081287	2L	18982233	18988313	-	1447	0	0
FBgn0032785	FBtr0081237	2L	18989039	18992462	+	299	0	0
FBgn0000964	FBtr0301669	2L	18999274	19002571	+	511	2	0
FBgn0032787	FBtr0302930	2L	19017526	19019346	-	361	0	0
FBgn0032788	FBtr0081240	2L	19019574	19021166	+	454	0	0
FBgn0032789	FBtr0081242	2L	19022156	19023337	+	316	0	0
FBgn0032790	FBtr0081285	2L	19023341	19024722	-	351	1	0
FBgn0032791	FBtr0081243	2L	19025152	19026344	+	360	0	0
FBgn0032793	FBtr0081284	2L	19026309	19027591	-	405	0	0
FBgn0002044	FBtr0081244	2L	19027900	19032590	+	1062	0	0
FBgn0040268	FBtr0081246	2L	19032780	19036688	+	1250	0	0
FBgn0032796	FBtr0081283	2L	19036751	19043129	-	1309	0	0
FBgn0032797	FBtr0299520	2L	19043333	19051511	-	1678	0	0
FBgn0032798	FBtr0081247	2L	19052821	19059452	+	1361	0	0
FBgn0032799	FBtr0081279	2L	19059431	19060345	-	241	0	0
FBgn0032800	FBtr0081248	2L	19060677	19066936	+	941	0	0
FBgn0032801	FBtr0303780	2L	19061273	19064292	-	228	0	0
FBgn0053116	FBtr0081249	2L	19067400	19071290	+	427	0	0
FBgn0051697	FBtr0081250	2L	19069375	19070032	+	147	0	0
FBgn0032803	FBtr0081251	2L	19072351	19073827	+	377	0	0
FBgn0032804	FBtr0081252	2L	19074585	19075236	+	177	0	0
FBgn0003231	FBtr0081253	2L	19075894	19078994	+	599	0	0
FBgn0032805	FBtr0081276	2L	19078823	19080358	-	239	0	0
FBgn0041180	FBtr0081254	2L	19083413	19090057	+	1496	0	0
FBgn0032808	FBtr0081255	2L	19092284	19097741	+	1034	4	3
FBgn0032809	FBtr0081256	2L	19098569	19099908	+	222	0	0
FBgn0032810	FBtr0081257	2L	19100649	19102112	+	269	0	0
FBgn0027949	FBtr0081258	2L	19112505	19113907	+	381	0	0
FBgn0032811	FBtr0081266	2L	19113868	19115105	-	189	0	0
FBgn0032812	FBtr0081265	2L	19115365	19117241	-	452	0	0
FBgn0032813	FBtr0081262	2L	19117604	19118851	-	255	0	0
FBgn0032814	FBtr0081259	2L	19119081	19121267	+	578	0	0
FBgn0005590	FBtr0081261	2L	19211699	19213099	-	400	0	0
FBgn0032815	FBtr0081325	2L	19234846	19238569	-	812	0	0
FBgn0032816	FBtr0081289	2L	19238656	19239709	+	156	0	0
FBgn0032817	FBtr0081324	2L	19240928	19254754	-	3781	3	0
FBgn0032818	FBtr0081323	2L	19255101	19256466	-	383	0	0
FBgn0032819	FBtr0081290	2L	19256734	19258851	+	604	0	0
FBgn0032820	FBtr0081322	2L	19259353	19261724	-	343	0	0
FBgn0000529	FBtr0089320	2L	19263394	19266668	-	429	0	0
FBgn0032821	FBtr0081318	2L	19273219	19290052	-	1843	0	0
FBgn0032822	FBtr0081291	2L	19290352	19291004	+	154	0	0
FBgn0004811	FBtr0081316	2L	19291068	19293924	-	367	0	0
FBgn0032825	FBtr0081295	2L	19325358	19326969	+	538	0	0
FBgn0032827	FBtr0081312	2L	19388011	19390319	-	646	0	0
FBgn0262543	FBtr0304883	2L	19408516	19409618	-	90	0	1
FBgn0053117	FBtr0081309	2L	19410715	19411345	-	134	0	0
FBgn0032833	FBtr0081301	2L	19456184	19457481	+	182	0	0
FBgn0054051	FBtr0100106	2L	19457545	19458482	-	223	0	0
FBgn0032834	FBtr0081308	2L	19459266	19459730	-	133	0	0
FBgn0032835	FBtr0081302	2L	19460106	19461299	+	311	0	0
FBgn0032836	FBtr0081303	2L	19461605	19462906	+	251	0	0
FBgn0042129	FBtr0081307	2L	19462977	19464559	-	159	0	0
FBgn0014000	FBtr0081306	2L	19464144	19465102	-	214	0	0
FBgn0040995	FBtr0081305	2L	19467253	19467460	-	73	0	0
FBgn0032839	FBtr0081350	2L	19516914	19517722	-	222	0	0
FBgn0032840	FBtr0081326	2L	19519407	19548215	+	300	0	0
FBgn0014127	FBtr0081349	2L	19550017	19552797	-	735	0	0
FBgn0019686	FBtr0081328	2L	19553334	19556202	+	476	0	0
FBgn0003978	FBtr0081347	2L	19556075	19557500	-	367	0	0
FBgn0045064	FBtr0081331	2L	19558174	19565639	+	283	0	0
FBgn0032843	FBtr0081346	2L	19561923	19564119	-	651	1	0
FBgn0003141	FBtr0089395	2L	19565632	19567357	-	168	0	0
FBgn0020303	FBtr0304723	2L	19573412	19576923	-	129	0	0
FBgn0032845	FBtr0081341	2L	19581701	19583295	-	328	0	1
FBgn0032846	FBtr0081333	2L	19583689	19585166	+	472	0	0
FBgn0032847	FBtr0081340	2L	19585101	19585860	-	136	0	0
FBgn0032848	FBtr0081335	2L	19586010	19588242	+	602	0	0
FBgn0032849	FBtr0081339	2L	19588440	19590068	-	204	0	0
FBgn0032850	FBtr0303230	2L	19589866	19595286	+	310	0	0
FBgn0032851	FBtr0089388	2L	19595347	19596028	-	205	0	0
FBgn0032853	FBtr0081378	2L	19619755	19620808	-	316	1	0
FBgn0259996	FBtr0302056	2L	19736171	19736572	+	104	1	0
FBgn0058172	FBtr0299948	2L	19737112	19737320	-	67	2	0
FBgn0259998	FBtr0081376	2L	19744331	19745346	-	258	0	0
FBgn0260000	FBtr0081375	2L	19752190	19752595	-	134	0	0
FBgn0040996	FBtr0081351	2L	19772294	19772864	+	96	0	1
FBgn0011638	FBtr0081374	2L	19817895	19820018	-	390	0	0
FBgn0015803	FBtr0112884	2L	19819612	19834772	+	1473	0	2
FBgn0026756	FBtr0081372	2L	19841726	19843221	-	480	0	0
FBgn0032856	FBtr0081371	2L	19846346	19851697	-	561	0	0
FBgn0032858	FBtr0081367	2L	19879064	19880850	-	459	0	0
FBgn0032859	FBtr0081358	2L	19880932	19887067	+	301	0	0
FBgn0032860	FBtr0081366	2L	19887221	19888694	-	137	0	0
FBgn0040998	FBtr0081359	2L	19890454	19891423	+	57	0	0
FBgn0051688	FBtr0273379	2L	19893184	19908369	+	687	1	0
FBgn0051683	FBtr0081365	2L	19912003	19914258	-	421	0	0
FBgn0042175	FBtr0081364	2L	19912216	19914250	-	421	0	0
FBgn0051687	FBtr0081361	2L	19914496	19915700	+	715	0	0
FBgn0032863	FBtr0081362	2L	19914567	19916890	+	678	0	0
FBgn0032864	FBtr0081363	2L	19916755	19918621	-	475	0	0
FBgn0054007	FBtr0100062	2L	19951681	19952024	+	94	0	0
FBgn0051677	FBtr0081407	2L	20051960	20052537	-	158	0	0
FBgn0261058	FBtr0301938	2L	20100625	20101319	+	169	0	0
FBgn0032869	FBtr0081406	2L	20102022	20102921	-	215	0	0
FBgn0016054	FBtr0081405	2L	20103026	20105452	-	540	0	0
FBgn0032870	FBtr0081384	2L	20105488	20107037	+	255	0	0
FBgn0042133	FBtr0081386	2L	20109154	20110187	+	300	0	0
FBgn0032871	FBtr0081387	2L	20110306	20111011	+	132	0	0
FBgn0261787	FBtr0081403	2L	20110867	20116291	-	1320	0	0
FBgn0032873	FBtr0081388	2L	20116545	20119333	+	673	0	0
FBgn0051678	FBtr0290059	2L	20119242	20136207	-	1417	0	0
FBgn0086657	FBtr0081390	2L	20136528	20139617	+	720	0	0
FBgn0032876	FBtr0081399	2L	20139229	20142147	-	790	0	0
FBgn0032877	FBtr0081391	2L	20142674	20143964	+	274	0	0
FBgn0014859	FBtr0081397	2L	20143798	20174308	-	1078	0	1
FBgn0032878	FBtr0081396	2L	20183890	20186220	-	448	0	0
FBgn0032879	FBtr0081395	2L	20186792	20189937	-	674	0	0
FBgn0032880	FBtr0081393	2L	20190278	20193979	-	659	0	0
FBgn0032881	FBtr0081460	2L	20202744	20204127	-	373	0	0
FBgn0032882	FBtr0081409	2L	20204230	20206500	+	575	0	0
FBgn0032883	FBtr0081459	2L	20206421	20209810	-	942	0	0
FBgn0011202	FBtr0081410	2L	20209970	20219206	+	1091	0	0
FBgn0000251	FBtr0081412	2L	20222387	20234642	+	427	0	0
FBgn0032884	FBtr0081414	2L	20239233	20240645	+	134	0	0
FBgn0250785	FBtr0089947	2L	20240203	20248565	-	636	0	0
FBgn0053322	FBtr0081455	2L	20266055	20267957	-	485	0	0
FBgn0067311	FBtr0081454	2L	20268241	20269050	-	197	0	0
FBgn0032888	FBtr0081452	2L	20271917	20272709	-	198	0	0
FBgn0032889	FBtr0081421	2L	20276478	20279806	+	366	0	0
FBgn0051673	FBtr0081422	2L	20281750	20283170	+	326	0	0
FBgn0051674	FBtr0081423	2L	20283384	20284884	+	327	0	0
FBgn0032891	FBtr0290042	2L	20284932	20287674	-	775	0	0
FBgn0051676	FBtr0081424	2L	20291943	20300293	+	159	0	0
FBgn0032894	FBtr0081425	2L	20300519	20302145	+	276	0	0
FBgn0032895	FBtr0081426	2L	20303716	20308356	+	166	0	0
FBgn0032896	FBtr0081449	2L	20308229	20309134	-	246	0	0
FBgn0032899	FBtr0081428	2L	20316372	20318418	+	147	0	0
FBgn0051675	FBtr0081429	2L	20318872	20320752	+	148	0	0
FBgn0032900	FBtr0081430	2L	20320947	20322701	+	146	0	0
FBgn0032904	FBtr0081439	2L	20366128	20369887	-	886	0	0
FBgn0032906	FBtr0081438	2L	20370906	20372072	-	246	0	0
FBgn0032907	FBtr0089944	2L	20372325	20373693	-	388	0	0
FBgn0032908	FBtr0081436	2L	20374106	20378354	-	1225	0	0
FBgn0010395	FBtr0081461	2L	20481297	20486732	+	799	0	0
FBgn0032910	FBtr0081507	2L	20486361	20498897	-	399	0	0
FBgn0032911	FBtr0081463	2L	20499936	20512666	+	664	0	0
FBgn0034739	FBtr0071853	2L	20501581	20503125	-	270	2	0
FBgn0053511	FBtr0091451	2L	20512765	20514127	-	389	1	0
FBgn0053510	FBtr0300360	2L	20514524	20515913	-	426	0	0
FBgn0053509	FBtr0091449	2L	20516229	20518125	-	389	0	0
FBgn0053508	FBtr0091448	2L	20518494	20520321	-	460	0	0
FBgn0032913	FBtr0081464	2L	20521156	20522549	+	422	0	0
FBgn0032914	FBtr0300444	2L	20522790	20526416	+	107	0	0
FBgn0032915	FBtr0114615	2L	20526498	20534021	-	1071	0	0
FBgn0083972	FBtr0110944	2L	20528496	20530536	+	77	0	0
FBgn0032916	FBtr0081465	2L	20534365	20535926	+	347	0	0
FBgn0040297	FBtr0299912	2L	20536188	20564837	+	1322	0	0
FBgn0023388	FBtr0081503	2L	20569656	20574885	-	1097	0	0
FBgn0032919	FBtr0081468	2L	20575703	20577661	+	507	0	0
FBgn0086251	FBtr0081502	2L	20577647	20581117	-	981	1	0
FBgn0024371	FBtr0081501	2L	20589995	20591907	-	370	0	0
FBgn0032921	FBtr0081469	2L	20592569	20593399	+	162	0	0
FBgn0032922	FBtr0081500	2L	20593128	20594297	-	310	0	1
FBgn0032923	FBtr0081471	2L	20594575	20596489	+	494	0	0
FBgn0032924	FBtr0081499	2L	20596341	20598784	-	625	0	0
FBgn0032925	FBtr0081472	2L	20599081	20601577	+	766	0	0
FBgn0032926	FBtr0110945	2L	20601524	20603840	-	574	0	0
FBgn0010100	FBtr0081473	2L	20603845	20608760	+	787	0	0
FBgn0051627	FBtr0300424	2L	20609035	20609950	+	262	0	0
FBgn0000239	FBtr0301342	2L	20610150	20615548	-	683	0	0
FBgn0032929	FBtr0081475	2L	20615813	20618656	+	776	0	0
FBgn0011829	FBtr0081492	2L	20618266	20634226	-	1237	0	0
FBgn0051624	FBtr0301928	2L	20634640	20635759	-	178	0	0
FBgn0051988	FBtr0081490	2L	20634692	20638370	-	178	0	0
FBgn0026255	FBtr0110895	2L	20643597	20648767	+	1002	0	0
FBgn0032935	FBtr0081487	2L	20649677	20658746	-	471	0	0
FBgn0032934	FBtr0081488	2L	20654176	20656708	-	704	0	0
FBgn0026577	FBtr0081477	2L	20659550	20672656	+	2759	0	4
FBgn0261239	FBtr0081479	2L	20676159	20700087	+	808	0	0
FBgn0021856	FBtr0081482	2L	20705771	20706906	+	279	0	0
FBgn0032938	FBtr0081483	2L	20707859	20726080	+	1039	0	0
FBgn0032940	FBtr0301457	2L	20730598	20754428	-	1119	0	0
FBgn0000370	FBtr0081512	2L	20755204	20763700	+	381	0	0
FBgn0261586	FBtr0302900	2L	20771671	20772064	+	36	1	1
FBgn0023091	FBtr0081514	2L	20781620	20783340	+	390	0	0
FBgn0023090	FBtr0081516	2L	20799680	20805565	+	1483	0	0
FBgn0041245	FBtr0081522	2L	20806159	20808007	-	369	0	0
FBgn0032945	FBtr0081517	2L	20809953	20816597	+	913	0	0
FBgn0032946	FBtr0081520	2L	20821053	20830878	+	311	0	0
FBgn0016919	FBtr0085925	2L	20870464	20880257	-	852	0	0
FBgn0022893	FBtr0100293	2L	20908388	20911646	-	183	0	0
FBgn0032957	FBtr0304885	2L	20941126	20954488	-	1111	1	2
FBgn0000559	FBtr0085911	2L	20955020	20959015	-	844	0	0
FBgn0032961	FBtr0085903	2L	21068674	21071579	+	354	0	0
FBgn0051612	FBtr0300999	2L	21072242	21102610	-	987	1	0
FBgn0032964	FBtr0085909	2L	21092483	21094379	-	631	0	0
FBgn0003866	FBtr0085906	2L	21113919	21122240	+	954	0	0
FBgn0032965	FBtr0085950	2L	21180696	21182236	-	463	0	0
FBgn0032966	FBtr0085928	2L	21186966	21187610	+	188	0	0
FBgn0032967	FBtr0085929	2L	21190317	21192292	+	617	0	0
FBgn0051600	FBtr0085949	2L	21197430	21198523	-	233	0	0
FBgn0032968	FBtr0085930	2L	21199522	21200615	+	298	0	0
FBgn0051693	FBtr0085931	2L	21289659	21291761	+	688	0	1
FBgn0028979	FBtr0089377	2L	21294241	21298465	+	1024	0	0
FBgn0084001	FBtr0111262	2L	21311877	21312816	+	312	0	0
FBgn0032971	FBtr0085935	2L	21348831	21349894	+	343	0	0
FBgn0040519	FBtr0085944	2L	21372130	21372733	-	117	0	0
FBgn0032972	FBtr0085943	2L	21374649	21375063	-	97	0	0
FBgn0032973	FBtr0299905	2L	21376542	21378031	+	390	0	0
FBgn0032974	FBtr0085937	2L	21382869	21386680	+	782	1	0
FBgn0025674	FBtr0085941	2L	21393205	21394988	-	400	0	0
FBgn0083973	FBtr0110947	2L	21416115	21417128	+	246	0	0
FBgn0032979	FBtr0100407	2L	21430189	21433464	-	566	0	0
FBgn0032986	FBtr0299875	2L	21529984	21530963	+	293	0	0
FBgn0032987	FBtr0085961	2L	21537145	21537867	-	159	0	0
FBgn0032988	FBtr0085955	2L	21540199	21546917	+	611	0	0
FBgn0064225	FBtr0111132	2L	21646868	21648665	-	299	0	0
FBgn0040010	FBtr0111255	2L	21711375	21713041	+	275	2	4
FBgn0040011	FBtr0111252	2L	21797977	21803417	+	897	0	0
FBgn0058439	FBtr0111232	2L	22466057	22466720	-	171	0	0
FBgn0058005	FBtr0111235	2L	23156791	23157782	+	276	1	0
FBgn0086683	FBtr0111239	2L	23453525	23455077	-	403	0	0
FBgn0262115	FBtr0111298	2R	12046	14052	+	477	0	0
FBgn0262116	FBtr0111266	2R	155967	156637	-	95	0	0
FBgn0262117	FBtr0111268	2R	510281	518043	-	1068	0	0
FBgn0054002	FBtr0302155	2R	1090934	1092523	+	350	1	0
FBgn0032949	FBtr0085896	2R	1269942	1276717	+	318	0	0
FBgn0040007	FBtr0111120	2R	1352570	1352976	-	70	0	0
FBgn0032997	FBtr0299924	2R	1432869	1434614	+	564	0	0
FBgn0040005	FBtr0111291	2R	1562033	1563793	+	378	0	0
FBgn0250830	FBtr0111273	2R	1748353	1750695	-	717	0	0
FBgn0033000	FBtr0299923	2R	1777023	1777691	+	116	0	0
FBgn0033005	FBtr0086078	2R	2018450	2023136	+	1034	0	0
FBgn0033017	FBtr0086094	2R	2252936	2254191	-	301	0	0
FBgn0033019	FBtr0086087	2R	2258721	2260087	+	313	0	1
FBgn0033020	FBtr0086089	2R	2261312	2262040	+	176	0	0
FBgn0033021	FBtr0086091	2R	2264897	2267664	-	662	0	0
FBgn0039969	FBtr0273208	2R	2450923	2452202	-	154	0	0
FBgn0039970	FBtr0086071	2R	2455882	2459118	+	321	0	0
FBgn0033028	FBtr0086072	2R	2479928	2490394	-	658	0	0
FBgn0027507	FBtr0086034	2R	2491807	2494090	+	683	0	0
FBgn0033029	FBtr0086062	2R	2495153	2501988	-	844	0	0
FBgn0033031	FBtr0086036	2R	2508542	2510123	+	343	0	0
FBgn0033032	FBtr0086037	2R	2512009	2513046	+	264	0	0
FBgn0033033	FBtr0086061	2R	2515029	2529626	-	655	0	0
FBgn0259979	FBtr0086038	2R	2535568	2537925	+	478	0	0
FBgn0259978	FBtr0086042	2R	2539635	2542917	+	634	0	0
FBgn0022288	FBtr0086043	2R	2593242	2594700	+	456	0	0
FBgn0085229	FBtr0112393	2R	2595807	2596181	+	52	0	0
FBgn0033038	FBtr0086057	2R	2596200	2598502	-	699	0	0
FBgn0033039	FBtr0086044	2R	2598933	2611006	+	1876	0	0
FBgn0033041	FBtr0086052	2R	2631773	2633264	-	406	0	0
FBgn0033042	FBtr0086045	2R	2642673	2643474	+	237	0	0
FBgn0033043	FBtr0086051	2R	2644663	2645987	-	399	0	0
FBgn0085414	FBtr0300553	2R	2695643	2709064	+	326	0	0
FBgn0033045	FBtr0086048	2R	2756576	2756885	+	104	0	0
FBgn0033046	FBtr0086049	2R	2760677	2767178	+	1976	2	0
FBgn0033047	FBtr0085966	2R	2797164	2799117	+	516	0	0
FBgn0025458	FBtr0086032	2R	2808985	2814663	-	1460	0	0
FBgn0002774	FBtr0086031	2R	2815197	2820959	-	1293	0	0
FBgn0033049	FBtr0085970	2R	2838906	2842518	+	1209	0	0
FBgn0033050	FBtr0085971	2R	2904877	2910007	+	638	0	0
FBgn0000043	FBtr0086029	2R	2904967	2906738	-	376	0	0
FBgn0033051	FBtr0086028	2R	2910730	2913075	-	527	0	0
FBgn0033052	FBtr0086027	2R	2914846	2925453	-	1276	0	0
FBgn0033054	FBtr0086026	2R	2925600	2929325	-	332	0	0
FBgn0033055	FBtr0085974	2R	2931609	2933930	+	523	0	0
FBgn0085240	FBtr0112404	2R	2936393	2936960	+	50	0	0
FBgn0085241	FBtr0302826	2R	2939156	2939541	-	48	0	0
FBgn0033058	FBtr0085975	2R	2940215	2958051	+	489	0	0
FBgn0033056	FBtr0086024	2R	2946712	2948913	-	683	0	0
FBgn0033059	FBtr0302508	2R	2964266	2966192	-	419	0	0
FBgn0033060	FBtr0085977	2R	2966633	2967809	+	317	0	0
FBgn0033061	FBtr0086022	2R	2968022	2970016	-	553	0	0
FBgn0033062	FBtr0086020	2R	2970282	2975075	-	943	0	0
FBgn0033063	FBtr0085978	2R	3020954	3022070	+	224	0	0
FBgn0033065	FBtr0085987	2R	3057243	3058974	+	514	0	0
FBgn0040502	FBtr0085988	2R	3063382	3064034	+	182	0	0
FBgn0033067	FBtr0086005	2R	3065014	3065722	-	176	0	0
FBgn0033068	FBtr0086003	2R	3066070	3080518	-	1169	0	0
FBgn0050432	FBtr0086002	2R	3081974	3082928	-	174	1	2
FBgn0033069	FBtr0085990	2R	3085476	3086631	+	286	0	0
FBgn0050431	FBtr0085991	2R	3087440	3089966	+	418	0	0
FBgn0033072	FBtr0086001	2R	3092104	3094180	-	504	0	0
FBgn0021847	FBtr0086000	2R	3094636	3098991	-	861	0	0
FBgn0033073	FBtr0085993	2R	3099472	3125659	+	1367	0	0
FBgn0033074	FBtr0085994	2R	3111167	3112448	+	340	0	0
FBgn0033075	FBtr0114492	2R	3127561	3140876	+	1364	0	0
FBgn0033076	FBtr0086155	2R	3350747	3351817	-	152	0	0
FBgn0053919	FBtr0091923	2R	3375152	3375892	-	191	1	0
FBgn0262736	FBtr0086152	2R	3376467	3384349	-	159	0	0
FBgn0026761	FBtr0086149	2R	3384837	3387454	-	691	0	0
FBgn0042085	FBtr0086107	2R	3387698	3393564	+	1688	0	0
FBgn0033079	FBtr0086148	2R	3393623	3396209	-	429	0	0
FBgn0029131	FBtr0086108	2R	3400741	3404928	+	300	0	0
FBgn0050443	FBtr0086109	2R	3405359	3407390	+	562	0	0
